tip_vine,vine,year,px2_cm2,vine_year,species,from_tip,from_base,count,base_vine,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
10x1583,1583,2013,13948.005,1583x2013,Vitis_acerifolia,10,8,17,8x1583,2705.25,1216,2700.75,1205.5,2683.75,1199,2667.25,1203.25,2814.5,1174.5,2806.25,1180.75,2804.5,1170.375,2789.875,949,2788.875,959.375,2780.25,953.25,2538.625,792.25,2543.125,799.875,2532,800.875,3252,1205.333,3268,780,3158.667,800,3150.667,561.333,2742,168,2654,570,2530.667,322.667,2093,253
10x237621,237621,2013,13948.005,237621x2013,Vitis_aestivalis,10,6,15,6x237621,2736.333,2832.667,2723.667,2822,2705.667,2822.667,2693.667,2846.667,2795.75,2771.25,2793.75,2781.5,2786.75,2770,2689.5,2540.5,2698.5,2545.833,2681.167,2548,2446.333,2590,2455.333,2597,2438.333,2604.667,3266,2620,3085,2130.667,3013,2178.667,2983.333,2095.667,2420,1806,2438,2072,2252,1891,1628,2001
10x313922,313922,2013,13948.005,313922x2013,Vitis_riparia,10,2,11,2x313922,665.25,2115.75,669.5,2104.5,660.5,2097.5,646,2101.833,726.5,2120.5,713.5,2122.5,713.5,2109.5,738.75,1995.25,737.25,2006.25,729,1995.75,678.333,1832.167,675.667,1841,669,1833.667,891.667,2258.333,1036,1956,972,1945,984,1803,936,1662,808,1760,888,1614,832,1376.5
10x318684,318684,2013,13948.005,318684x2013,Vitis_acerifolia,10,2,11,2x318684,850.333,1295,847,1280.333,872.333,1278.333,897.667,1283.667,778,1264.333,789,1274,791.667,1260.667,776.5,1101.5,781.667,1110.167,789.5,1106,941.667,990.667,936.833,1001.833,954,1002.5,493,1325.333,492,971.5,560.5,1000.5,534,949.5,602,766,759,825,775,626,931.333,418.333
10x483138,483138,2013,13948.005,483138x2013,Vitis_aestivalis,10,4,13,4x483138,1049,2513,1025,2510.333,1061,2478.333,1093,2459.667,928,2653,937,2643,923.667,2641.333,803.75,2505.75,820.5,2507.75,813.25,2493.5,840.833,2181.167,847.667,2190,862,2174.667,814,2873,591,2955,704,2730,416,2760,54,2415,728.333,2350.667,356,2025,188.667,1545.667
10x483165,483165,2013,13948.005,483165x2013,Vitis_riparia,10,6,15,6x483165,2834.333,4167,2822,4160.333,2827,4139.333,2836.333,4118.667,2783,4252.667,2791.167,4239,2779,4239.167,2550.5,4199.25,2563,4202.5,2560.25,4189.5,2400.75,3954.25,2409,3960.75,2412.5,3948,2791.75,4694.75,2256.333,4662.667,2305.333,4557.333,2063.333,4490,1795.667,4003.333,2001,3997,1886,3937.667,1759.167,3529.333
10x483166,483166,2013,13948.005,483166x2013,Vitis_riparia,10,7,16,7x483166,2633.667,1481.667,2627,1463,2641.667,1447,2669.667,1433,2522.333,1519,2535.667,1516.333,2528.333,1503,2348.333,1342.667,2360,1350.333,2360,1335.333,2468.333,1051,2471.667,1061.333,2485,1049.667,2319.667,1932.333,1831.333,1644.333,1940.667,1603.667,1740.667,1443.667,1554.667,830.667,2027,950,1822.667,658.667,1786.667,132.667
10x483169,483169,2013,13948.005,483169x2013,Vitis_riparia,10,5,14,5x483169,2679.75,2517.25,2682.75,2506,2669.75,2496.75,2654,2497,2741.333,2534,2734.5,2533.167,2738.333,2526.167,2817.167,2379.167,2813.5,2384.917,2809,2378.833,2677.5,2243.5,2679.583,2252.167,2670.375,2248.25,2956,2706,3195,2385,3119,2374,3146,2173.5,2956.5,1822.5,2848.667,1949,2790,1844,2405.75,1692
10x483171,483171,2013,13948.005,483171x2013,Vitis_riparia,10,5,14,5x483171,1979.333,4201.667,1963.667,4195.333,1961.333,4172.667,1971.667,4148.667,1935.25,4273.25,1947.75,4260.75,1931.5,4253.5,1739,4216.5,1749.75,4218,1746,4205.25,1723.667,3982.667,1730.667,3990.667,1738.333,3978,1892,4728,1429.667,4628.667,1463.667,4543,1257,4451.667,917,3934,1309,3957,1129,3715,1277,3197.333
10x483172,483172,2013,13948.005,483172x2013,Vitis_riparia,10,6,15,6x483172,1371,3081,1356,3062,1365,3038,1392,3027,1264,3172,1278,3170,1267.5,3158,1037.667,2938.333,1043.667,2945.667,1051.667,2931.667,1133,2564,1136.5,2578,1152,2566.5,962,3688,357,3303,450.667,3230,264,3005,88.667,2170.333,422,2269,426,1917.333,859.333,1361.667
