base_vine,vine,year,px2_cm2,vine_year,species,from_tip,from_base,count,tip_vine,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
10x1583,1583,2013,13948.005,1583x2013,Vitis_acerifolia,8,10,17,8x1583,1524.167,4490.5,1514.833,4483,1492.167,4498.167,1468.5,4511.5,1625.125,4406.75,1621,4413.25,1614.875,4404.5,1509,4251.5,1512.5,4258.75,1502.125,4258.75,1308.75,4300.375,1316.625,4304.75,1307.125,4312.5,2068.667,4303.667,1904.667,3893,1794,3919.667,1716.667,3703.667,1220,3433.667,1181.333,3749.667,1001,3717,523,3918.667
10x237621,237621,2013,13948.005,237621x2013,Vitis_aestivalis,6,10,15,6x237621,2037.5,4450.75,2029.25,4438.25,2035.5,4424.25,2052,4413.5,1942.5,4514.667,1951.833,4513.333,1940.667,4506.833,1777,4381,1785,4385,1784.5,4373.5,1849.667,4167,1855,4176.667,1863.333,4165,1799,4885,1450,4677,1480,4621,1292,4489,1160.5,4069.5,1324.25,4083.25,1237.333,3922,1148.25,3377.75
10x313922,313922,2013,13948.005,313922x2013,Vitis_riparia,2,10,11,2x313922,3188.417,1307.167,3193.5,1299,3208.083,1300.25,3223.667,1304.333,3157.75,1291.5,3164.75,1295.083,3166.438,1285.938,3156.438,1221.312,3157.25,1230.875,3166.438,1225.625,3227.25,1201.875,3222.875,1212.375,3239.5,1208.875,3020,1309,2996,1165,3019.667,1181.667,3016,1129.333,3087,954.667,3104,1026.667,3136,961.667,3235,747
10x318684,318684,2013,13948.005,318684x2013,Vitis_acerifolia,2,10,11,2x318684,3064.667,1112.667,3068.333,1102.667,3080,1094.333,3098.667,1094,3025.667,1099.333,3037,1107.667,3040.333,1092,3023,1027.75,3026,1037.25,3037.75,1027.75,3083,969.833,3081.167,981.667,3096.5,975.833,2913.333,1198.333,2810,1005,2857.333,1021.667,2829.333,917.667,2874,707.333,2909,802.667,2933.667,739.667,3050,525.333
10x483138,483138,2013,13948.005,483138x2013,Vitis_aestivalis,4,10,13,4x483138,3086,1961.667,3078,1949.333,3081.333,1933.333,3103,1928,3028.167,1997.5,3036.833,1997,3026.833,1987.833,3003,1922,3008.75,1929.125,3013,1915.375,3040.875,1819.5,3045.375,1831.375,3058.125,1818,2955,2183.5,2770.5,2068,2797.25,2041.25,2728.25,1966.75,2661,1712,2814,1746,2754.5,1664.5,2846.75,1289.75
10x483165,483165,2013,13948.005,483165x2013,Vitis_riparia,6,10,15,6x483165,1655.667,1136.667,1644.667,1123.667,1649.333,1105.667,1668.667,1088.333,1575,1209.25,1589.25,1200,1577,1194.75,1374.667,1100.667,1385.833,1105.333,1385.333,1092.167,1448.25,860.25,1454.75,870.5,1463.5,859.5,1403.5,1702.5,872.333,1418.333,967.667,1342.333,777,1244,597.667,666.667,990,711.333,939.333,463.333,1214,314
10x483166,483166,2013,13948.005,483166x2013,Vitis_riparia,7,10,16,7x483166,2049.5,4510,2042.5,4491.5,2054.5,4476,2079,4469,1951.25,4538.25,1967.25,4537.25,1959,4522,1858.75,4371.75,1867.5,4379.75,1871.25,4362.25,2000.667,4192,2001.333,4208.667,2021,4200.333,1683,4751,1468,4477.5,1575,4464.5,1407,4303.5,1393.667,3888.667,1672,3972,1639,3831,1908,3407
10x483169,483169,2013,13948.005,483169x2013,Vitis_riparia,5,10,14,5x483169,2972.833,3270,2970.667,3259.167,2955.667,3257,2939,3268.833,3066.333,3238.333,3059.833,3243.667,3057.333,3235.333,3005.333,3083.167,3005.333,3089.333,2996.5,3086.167,2819,3079.5,2826.833,3086.833,2813.5,3092.667,3309,3198,3288.5,2911,3255.25,2950,3234.667,2817.667,2939,2513.5,2897.333,2672.333,2802.667,2600.333,2353,2356
10x483171,483171,2013,13948.005,483171x2013,Vitis_riparia,5,10,14,5x483171,1854,4173.333,1836,4161.333,1831.333,4144,1840.667,4122.667,1819.333,4253.333,1828.667,4242,1813.333,4238.667,1604,4206,1614,4205.5,1608.5,4194.5,1551,3983.5,1561,3992,1564.25,3975.75,1832.333,4645.667,1363.333,4642,1412.667,4568,1226,4539,896.333,4193.333,1062.5,4124.5,966.5,3985,836,3518
10x483172,483172,2013,13948.005,483172x2013,Vitis_riparia,6,10,15,6x483172,2156.5,1118,2139.5,1112.5,2131,1092.5,2135,1067.5,2101.333,1274,2108,1261.667,2092.333,1261.667,1842.333,1221.667,1854,1221,1847.667,1206.667,1738.333,923.333,1748.667,929.333,1749.667,911.333,2272.333,1722,1628,1813.667,1681,1696,1329.667,1686.333,773,1279,1091.333,1126,934,884,1016,295
10x483175,483175,2013,13948.005,483175x2013,Vitis_riparia,3,10,12,3x483175,3083,1595.75,3077.5,1581.75,3086.75,1567.75,3107,1562.5,3017.5,1614.125,3028.125,1612.75,3021.5,1602.25,3007,1531.833,3014.667,1540.167,3019.833,1529.333,3055.75,1433.5,3057.25,1444.25,3069.875,1437.375,2891.5,1764,2735,1615.333,2773.75,1602.25,2708.25,1520.75,2658,1238.667,2794.75,1271.25,2782,1204.667,2934,853.75
10x483177,483177,2013,13948.005,483177x2013,Vitis_riparia,3,10,12,3x483177,2940,2441.667,2941.667,2429,2955.667,2422.667,2970.667,2424.333,2869.75,2427.5,2878.75,2434.25,2878.75,2421,2872.5,2327.5,2874.5,2335,2883.75,2327.5,2985,2270,2983.333,2279.667,2999.333,2276.667,2674.667,2520,2563.5,2280,2634,2294.5,2582.333,2178,2689.5,1920.5,2763,1993.333,2795,1920.333,2970.667,1604.333
10x483190,483190,2013,13948.005,483190x2013,Vitis_vulpina,5,10,14,5x483190,3062.75,3075.25,3052.5,3070.75,3055,3054,3066.5,3038.5,3012.25,3181.75,3015.5,3175,3008,3175.5,2903,3091.75,2912.5,3090.25,2907.75,3083.5,2887.75,2914,2895.25,2919.75,2898,2909.75,3028,3477,2768,3430,2751,3354,2587,3302,2398,3074,2425,3007,2372,2892,2071,2331
10x495622,495622,2013,13948.005,495622x2013,Vitis_riparia,3,10,12,3x495622,3137.25,2010.5,3131.75,2003.75,3134.25,1992.25,3145.25,1981.75,3063,2050.25,3072.5,2046.75,3064.75,2039.5,2999,1970,3005.75,1973.75,3007.75,1963.75,3002.25,1837.75,3006.25,1844.25,3017.25,1834.75,2939.333,2229,2731.667,2123.667,2813,2087,2686.333,2028.333,2540,1779.667,2724,1794,2642.667,1709.333,2594,1335
10x588060,588060,2013,13948.005,588060x2013,Vitis_coignetiae,5,10,14,5x588060,2721.333,4100.667,2713,4088,2718,4075.667,2736,4066.667,2674.333,4126,2689.333,4122.333,2679.333,4111.333,2571.667,4020.667,2582.667,4028.667,2584.667,4013,2648.667,3863,2651.667,3873.667,2663.667,3865.333,2522,4501,2117,4245,2171,4185,2093,4076,1924,3617,2120,3586,2152,3508,2301,2967
10x588128,588128,2013,13948.005,588128x2013,Vitis_labrusca,2,10,11,2x588128,3056.833,965.333,3059.333,957.333,3052,949.667,3037.667,949.333,3087.833,974.167,3079.167,973.167,3083.833,966.5,3104.667,924.333,3099.5,929.667,3095.333,921,3050.5,880.667,3050.333,889.5,3040.833,885,3155,1059,3243,989.5,3228,973,3262.5,928.5,3261.5,766.5,3191.5,784,3196.5,737,3112,552
10x588134,588134,2013,13948.005,588134x2013,Vitis_cinerea,3,10,12,3x588134,3227.75,1374.75,3226.5,1363,3234.75,1357.75,3254.75,1356.25,3195,1380.5,3208.25,1378,3201.25,1369,3184.25,1325.25,3190.5,1334.25,3197.25,1323.25,3233.75,1271.75,3233.25,1283.75,3249,1277.5,3074,1456.5,3013.5,1318.5,3038,1317,3025,1272.5,3058,1092,3128,1154,3128.5,1113.5,3262.5,913.5
10x588144,588144,2013,13948.005,588144x2013,Vitis_acerifolia,3,10,12,3x588144,2884,2331.333,2884.667,2316.667,2914,2316.667,2938.667,2318.667,2837.333,2325.333,2859.333,2332,2852,2320,2793.333,2202.333,2800,2212,2805.5,2202.5,2914.5,2107.5,2914.5,2118,2929.5,2112,2587,2421,2459,2159,2553,2175,2486,2025,2558,1750,2713,1876,2744,1733,3006,1490
10x588149,588149,2013,13948.005,588149x2013,Vitis_x_doaniana,1,10,10,1x588149,3226.375,414.5,3229.25,410,3239.5,410.25,3255.5,408,3218.375,410.75,3219.75,414,3224.625,405.625,3204.833,373.167,3205,377.833,3214.667,375.333,3224.833,335.333,3223.333,345.333,3233.833,341.333,3136.333,428.667,3104,362.333,3116,359.667,3099,327.667,3119,207,3155,267,3161,227.333,3219,116.333
10x588167,588167,2013,13948.005,588167x2013,Vitis_riparia,2,10,11,2x588167,2867.333,1142.917,2865.167,1134.583,2879.167,1134.083,2895,1133.417,2835,1140.75,2839,1144.75,2842.5,1135.75,2820.833,1070.083,2821,1075.917,2834,1070.917,2884.667,1013.583,2883.333,1020.25,2896.667,1019.917,2686,1186.25,2666.5,1066.75,2673.5,1054.75,2644,946.75,2708.5,753.75,2754,842.75,2759,816.25,2713.5,570.75
10x588174,588174,2013,13948.005,588174x2013,Vitis_rupestris,2,10,11,2x588174,2940,1308.667,2942.667,1302.667,2956.667,1303.333,2970.667,1300,2908,1298.667,2913.333,1303.333,2915.333,1297.333,2898.667,1247.333,2899.333,1256,2906,1250.667,2950.667,1220.667,2950.667,1227.333,2960,1223.333,2807.333,1348.667,2731.333,1220.667,2756,1225.333,2746,1142.667,2791.333,1066.667,2830,1084.667,2868,1052.667,3016,960.667
10x588182,588182,2013,13948.005,588182x2013,Vitis_labrusca,1,10,10,1x588182,3288,459.5,3290,448.5,3284,441,3268.5,440.5,3314,458.5,3307.5,460.25,3309.25,448.75,3314.25,426.75,3310.25,432.75,3304.75,420,3289.25,377.5,3288.25,387.25,3276.25,380.75,3395.25,488.5,3439.25,429,3416.5,424,3434.75,387.75,3474.25,308.25,3375.5,290.5,3364.5,249.5,3285.25,117
10x588186,588186,2013,13948.005,588186x2013,Vitis_cinerea,2,10,11,2x588186,3174.667,793.333,3176.333,785.667,3179.333,782,3192.667,785.667,3151.333,785,3158,789.667,3157.667,782.667,3154.333,753.333,3158.667,762.333,3163.333,755.667,3185.333,728.667,3184,737.333,3195.667,734.667,3076,790.667,3072.333,724.667,3081.667,718.667,3082.333,704,3114.333,621,3130.333,641,3140.667,637,3200,475.333
10x588190,588190,2013,13948.005,588190x2013,Vitis_riparia,5,10,14,5x588190,2705,4125.5,2702.333,4113,2730.333,4102.333,2759.667,4093,2549,4124,2558.5,4127,2556.5,4115.5,2508.5,3911,2514,3921,2523,3911,2679,3777,2680,3789.5,2693,3784,2173,4218,2031,3849,2146,3869,2090,3678,2180,3375.5,2315,3423,2308.5,3323,2495,2853
10x588204,588204,2013,13948.005,588204x2013,Vitis_riparia,5,10,14,5x588204,2751.333,4109.333,2750,4095.333,2797.333,4101,2819.667,4100.333,2682.667,4115,2692,4118.667,2687.667,4106.667,2630.333,3959.667,2632,3967,2641,3960.667,2763.667,3834,2764,3843,2780.333,3839,2416,4237,2286,3951,2360,3957,2311,3807,2391,3481,2477,3605,2529,3475,2644,3270
10x588225,588225,2013,13948.005,588225x2013,Vitis_rupestris,3,10,12,3x588225,3018.25,1611.25,3017.75,1600,3027,1592,3041.25,1592.75,2962,1594.25,2969.75,1600,2971.25,1588.25,2933.75,1474.25,2937.5,1482,2943.25,1475,3030.833,1410.167,3030.833,1415.5,3040.167,1413.167,2741,1639,2663,1428,2701,1440,2699,1362,2809,1162,2874,1221,2885,1185,3074,1035
10x588258,588258,2013,13948.005,588258x2013,Vitis_riparia,5,10,14,5x588258,2823.333,4214.667,2820,4201.667,2839,4189,2862.667,4189.667,2743.5,4248.5,2754.5,4246.5,2747.25,4237.25,2658,4095.667,2666.167,4103.167,2668,4093,2820.167,3966.833,2820.833,3977,2832.833,3971.833,2508,4476,2296,4200,2419,4183,2249,4046,2209,3548,2433,3728.333,2400,3440,2854,2974
10x588259,588259,2013,13948.005,588259x2013,Vitis_riparia,6,10,15,6x588259,924.5,1696.5,927.5,1678,976.5,1701.5,1002,1720.5,784.5,1672,794,1677,794.25,1664,827,1373.5,829.5,1386.75,841.5,1378.5,1180.125,1294.5,1173.375,1304.5,1190.375,1307.5,254.667,1707.667,154,1090,300,1140,330.667,785,920,293,957,573,1164,441,1743,330
10x588260,588260,2013,13948.005,588260x2013,Vitis_riparia,5,10,14,5x588260,2434.5,4470.5,2424.5,4459,2439,4446,2456.5,4436,2331,4528,2341.5,4523.5,2332.833,4517.333,2205,4362.5,2214,4367.833,2215.333,4355.833,2321.667,4149,2323.667,4158.167,2335.333,4150.5,2172.667,4882.667,1728,4700,1828,4626,1617,4454,1623,3886,1778.333,3944,1795,3735,1980.333,3229.667
10x588261,588261,2013,13948.005,588261x2013,Vitis_riparia,3,10,12,3x588261,2863,2645.667,2862,2629.333,2889.333,2635.333,2908.333,2636.333,2797,2630.667,2809.333,2636,2807,2622.25,2789,2520.375,2794.625,2531,2800.75,2521.375,2894.833,2446.667,2893.833,2460.167,2912.167,2455.333,2547,2686.333,2477.667,2451.667,2544.333,2485.667,2496.333,2327,2619.667,2052.333,2665,2187.667,2677,2098,2773,1728
10x588269,588269,2013,13948.005,588269x2013,Vitis_riparia,2,10,11,2x588269,3249.167,929,3245,922.333,3249,914.5,3260,910.667,3224.5,930.667,3231.833,931.667,3228.167,925.333,3184.833,876.417,3188.458,881,3191.167,874.708,3219.688,816,3222.438,824.875,3227.438,819.062,3130.333,1017.667,3042.333,894.667,3081.667,902.333,3041,850.333,3032,685,3092,735.333,3083.667,682.667,3164.333,458
10x588270,588270,2013,13948.005,588270x2013,Vitis_riparia,3,10,12,3x588270,3185.333,1903.5,3183.833,1897.167,3174.833,1893,3160.833,1893.5,3232.25,1898.438,3224.375,1899.938,3227.875,1895.062,3234.667,1827.25,3232.167,1832.583,3229.333,1827.833,3139.583,1783.417,3141.583,1788.917,3133.667,1788.667,3388.667,1975.333,3459.333,1810,3406.667,1821.333,3444.667,1734.667,3406,1509.333,3300.667,1594,3257.333,1493.333,3058,1241
10x588271,588271,2013,13948.005,588271x2013,Vitis_riparia,6,10,15,6x588271,1134,1907.5,1133.75,1895.25,1103.5,1889.5,1080.25,1885.75,1266.5,1942.625,1256.75,1943.75,1261.25,1934.75,1349.875,1673.875,1344.375,1684,1340.875,1674.125,1092.833,1537.667,1093.667,1550,1076.833,1544.167,1663.667,2199.333,2018.333,1722,1864.667,1692,1992,1511,1836,815,1596,971,1498,743,1075,216
10x588272,588272,2013,13948.005,588272x2013,Vitis_riparia,2,10,11,2x588272,3071,1006,3073,999.5,3083,999.5,3094,1003,3039.875,985.125,3046.625,991.25,3048.5,983,3056.75,923.5,3058.5,929.938,3064.125,925.938,3123.417,910.833,3120.083,916.917,3129.333,918.5,2955,986.5,2926,832,2956.5,876,2953,804,3071,698.5,3063.5,773.5,3105,740,3178.5,532.5
10x588273,588273,2013,13948.005,588273x2013,Vitis_riparia,5,10,14,5x588273,2887,4124.167,2877.167,4116.833,2862.5,4127.667,2852.167,4140.5,2933.125,4082.625,2929.125,4089.125,2924.5,4080.875,2879.625,3947.25,2881,3953.625,2870.375,3951.25,2681.875,3946.75,2687.125,3951.5,2676.625,3959.75,3304,4016,3217,3653,3135,3720,3020,3493,2738,3253,2712,3479,2540,3385,2067,3302
10x588275,588275,2013,13948.005,588275x2013,Vitis_riparia,6,10,15,6x588275,1342.25,3852.75,1330.75,3840.25,1338.25,3823.25,1365.5,3815.5,1239.25,3913.875,1253.375,3909,1242.75,3899.625,1054.5,3702.25,1064.5,3709.5,1065.5,3694.75,1228.25,3480,1231.5,3491,1245,3481.75,927,4410.667,336.333,3961.333,503,3904,317,3694,177,3026,541,3014,575,2820,1037,2176
10x588324,588324,2013,13948.005,588324x2013,Vitis_acerifolia,4,10,13,4x588324,2653,4047,2661,4027.5,2676.5,4026,2699.5,4030.5,2557.333,4027.667,2573,4033,2569.333,4021,2542.25,3858,2546.5,3867.5,2553.5,3859.25,2701.25,3757.25,2699.75,3777.75,2716.333,3768.667,2261,4211,2091,3792.5,2204.333,3809.667,2144.667,3660.333,2278.333,3276,2460,3422,2499,3283.667,2694,3000.667
10x588329,588329,2013,13948.005,588329x2013,Vitis_cinerea,4,10,13,4x588329,2975.5,2596,2976.5,2578.5,2958.5,2577.5,2937,2589.5,3034.5,2578.5,3021,2585,3023,2572,2998,2464.5,2994,2476.5,2986,2468,2857.667,2414.333,2865.667,2426.333,2848,2426,3323.5,2653.5,3340,2296.333,3324,2280,3285.5,2178,3081.75,1929.5,2972,1974,2912,1959,2472,1744
10x588331,588331,2013,13948.005,588331x2013,Vitis_rupestris,2,10,11,2x588331,3098.5,1117.833,3112.833,1108.833,3120.833,1106.333,3133.833,1102.333,3046.5,1097.833,3055,1103.333,3054.333,1095.5,3040.5,1005.625,3042.875,1011.75,3047.75,1006.375,3106.75,934.125,3109.125,942.625,3115.875,936.625,2843.833,1102.667,2809.333,925.667,2855.25,949,2823.75,864.25,2886.333,695,2955.5,771.25,2970,682.667,3042,514.333
